MARE-SHP	Maremma Sheepdog	Maremma Çoban Köpeği			
MAS	Mastiff		mastiff		
MEX-HLS	Mexican Hairless				
MIN-PINSC	Miniature Pinscher	Minyatür Pinscher			
MIN-POOD	Miniature Poodle		poodle		
MIN-SCHN	Miniature Schnauzer	Minyatür Schnauzer			
MONG	Mongrel	Melez/Kırma			
MUDI	Mudi				
NAPO-MAS	Napoliten Mastiff		mastiff		
NEAP-HND	Neapolitan Hound		hound		
NWFND	Newfoundland				
NORF-TER	Norfolk Terrier		terrier	Great Britain	
NORRB	Norrbottenspets			Sweden	
NORW-BUHU	Norwegian Buhund	Norsk Buhund			
NORW-ELK	Norwegian Elkhound	Norveç Geyik Avcısı	hound		
NOR-TER	Norwich Terrier		terrier	United Kingdom	
NSDT-RET	Nova Scotia Duck Tolling Retriever				
OENG-SHP	Old English Sheepdog	Eski İngiliz Çoban Köpeği	sheepdog	England	
OTTER	Otterhound		hound		
PAPIL	Papillon				
PEKIN	Pekingese				
PBRK-COR	Pembroke Welsh Corgi				
PERUIO	Peruvian Inca Orchid	Peru Tüysüz Köpeği		Peru	
PTT-BSS	Petit Basset Griffon Vendéen			France	
PTT-BLE	Petit Bleu de Gascogne			France	
PHA-HND	Pharaoh Hound		hound		
PCRDY-SHP	Picardy Sheepdog		sheepdog		
PLOTT-HND	Plott Hound	Plott Tazısı	coonhound	Germany, USA	
POI	Pointer		pointer		
POITEVIN	Poitevin			France	
POL-HND	Polish Hound	Polonya Tazısı	hound		
POL-LL-SHP	Polish Lowland Sheepdog	Valee Çoban Köpeği			
POL-TTR-SHP	Polish Tatra Sheepdog	Tatra Çoban Köpeği	sheepdog	Poland	
POMER	Pomeranian	Pomeranyalı		Germany, Poland	
PONIBI	Pondenco Ibicenco				
POR-CATL	Portuguese Cattle Dog			Portugal	
POR-SHP	Portuguese Sheepdog		sheepdog	Portugal	
POR-WTR	Portuguese Water Dog	Portekiz Su Köpeği			
PRESA	Presa Canario				
PUG	Pug				
PULI	Puli				
PUMI	Pumi				
PYR-MOU	Pyrenean Mountain Dog	Pyrenees Çoban Köpeği			
PYR-MAS	Pyrenees Mastiff		mastiff		
RAFALE	Rafeiro do Alentejo				
RED-COO	Redbone Coonhound		coonhound	USA	
RHODRID	Rhodesian Ridgeback				
ROTTW	Rottweiler				
RHAIR-DACH	Rough-haired Dachshund				
RHAIR-DUT-SHP	Rough-haired Dutch Sheepdog		sheepdog		
RUS-SPA	Russian Spaniel		spaniel		
SNTBER	Saint Bernard				
SALUKI	Saluki				
SAMO	Samoyed				
SANSHU	Sanshu				
SAOMIG	São Miguel Cattle Dog				
SARP	Šarplaninac (Yugoslavian Shepherd Dog)	İlirya Çoban Köpeği	shepherd	Macedonia and Serbia	
SCHAPEN	Schapendoes				
SCHIPP	Schipperke				
SCHNAU	Schnauzer	Schnauzer			
SCOT-DRH	Scottish Deerhound	İskoç Geyik Tazısı	hound		
SCOT-TER	Scottish Terrier	İskoç Terrier	terrier		
SEAL-TER	Sealyham Terrier		terrier	Wales	
SEGU	Segugio				
SHARPEI	Shar-pei				
SHELTIE	Sheltie				
SHET-SHP	Shetland Sheepdog	Shetland Çoban Köpeği	sheepdog		
SHIBA	Shiba Inu				
SHIH	Shih Tzu				
SIB-HUSK	Siberian Husky	Sibirya Kurdu			
SKY-TER	Skye Terrier		terrier	Scotland	
SLO-CUVAC	Slovak Cuvac			Slovakia	
SMO-COL	Smooth Collie	Tüysüz Collie	collie		
SMOHAIR-FOX-TER	Smooth-haired Fox Terrier		terrier		
SCOAT-WHE-TER	Soft Coated Wheaten Terrier		terrier		
SPN-MAS	Spanish Mastiff	İspanyol Mastiff	mastiff		
SPN-POI	Spanish Pointer		pointer		
STABY	Stabyhoun				
STAFF-BUL-TER	Staffordshire Bull Terrier		terrier		
STAND-POOD	Standard Poodle		poodle		
STEIN	Steinbracke				
STY-CHAIR-HND	Styrian Coarse-haired Hound	Styrian Dağ Tazısı	hound		
SUS-SPA	Sussex Spaniel	Sussex Spanieli	spaniel		
SWS-HNT	Swiss Hunting Dog				
CTLBRN	Tarsus Çatalburun	Tarsus Çatalburun		Turkey	
TERVUREN	Tervuren (Belgian Shepherd Dog)	Belçika Tervuren	shepherd	Belgium	
TBT-MAS	Tibetan Mastiff	Tibetli Mastiff	mastiff		
TBT-SPA	Tibetan Spaniel	Tibetli Spaniel	spaniel		
TBT-TER	Tibetan Terrier	Tibet Terrieri	terrier		
TOSA	Tosa				TRUE
TOYKEE	Toy Keeshond				
T-POOD	Toy Poodle		poodle		
TREE-WLK-COO	Treeing Walker Coonhound		coonhound	USA	
TRIGG-HND	Trigg Hound	Trigg Tazısı	hound		
TRK-HND	Turkish Hound	Türk Tazısı	hound		
TYROL-HND	Tyrolean Hound	Tyrolean Tazısı	hound		
VASTSPIT	Vastgota Spits				
VIZSLA	Vizsla				
WEIMA	Weimaraner				
WELSH-HND	Welsh Hound				
WELSH-SPR-SPA	Welsh Springer Spaniel		spaniel		
WELSH-TER	Welsh Terrier		terrier		
WST-HGH-TER	West Highland(White) Terrier		terrier		
WSTBAS	Westphalia Basseti				
WETTER	Wetterhoun				
WHIPP	Whippet				
YRKSHR-TER	Yorkshire Terier				
